"Global_active_power","Sub_metering_3","Sub_metering_2","Sub_metering_1","Missing_energy","Date"
184362.94,53412.78,14918.4,9887.16,106144.6,2007-01-01 01:00:00
114873.166,36468.12,10829.28,10649.22,56926.546,2007-04-01 02:00:00
105672.896,36397.92,10843.26,7928.64,50503.076,2007-07-01 02:00:00
177799.184,55091.58,14670.66,10087.86,97949.084,2007-10-01 02:00:00
170091.048,50865.78,11930.04,9903.78,97391.448,2008-01-01 01:00:00
136875.824,52584.06,11593.62,10133.52,62564.624,2008-04-01 02:00:00
90487.09,35470.5,6676.2,6213.72,42126.67,2008-07-01 02:00:00
167439.132,51830.88,9514.44,8836.02,97257.792,2008-10-01 02:00:00
167931.084,57268.14,10323.78,11183.64,89155.524,2009-01-01 01:00:00
128027.334,52731.42,7950.06,7766.28,59579.574,2009-04-01 02:00:00
99295.412,40592.82,7613.34,6231.06,44858.192,2009-07-01 02:00:00
167061.368,62816.58,9641.52,10378.44,84224.828,2009-10-01 02:00:00
163007.262,67918.74,10261.8,8294.64,76532.082,2010-01-01 01:00:00
135155.948,60459,8191.62,9123,57382.3280000001,2010-04-01 02:00:00
90600.55,36657.72,5631,4021.86,44289.97,2010-07-01 02:00:00
96531.342,33766.92,6150.12,5661.66,50952.642,2010-10-01 02:00:00
